ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,bby,shy,pfcf_rank,evebitda_rank,rank
ADES,"ADA-ES, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,498.92,0.0,1.85,0.0,22.17,0.0,17.68,22.96,48.92,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ADHD,Alcobra Ltd.,Healthcare,Biotechnology,Israel,211.69,0.0,0.0,4.06,0.0,0.0,-18.19,15.52,-16.57,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,16517.21,24.02,6.26,3.44,48.91,2.8,13.49,52.85,13.71,0,68.1505908216543,0.0,0.0,-0.0,2.8,50,50,168.1505908216543
ADM,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,29535.43,22.3,0.33,1.48,7.75,2.13,21.3,45.04,10.71,0,64.27589997251992,0.0,29.48612256114317,-0.0,2.13,50,50,164.27589997251994
ADNC,"Audience, Inc.",Technology,Semiconductor - Integrated Circuits,USA,268.68,172.43,1.68,1.67,43.34,0.0,0.0,12.07,15.98,0,97.60923330585327,40.72547403132729,0.0,-0.0,0.0,50,50,238.33470733718056
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,36768.45,26.13,3.13,5.83,72.71,2.52,4.79,76.31,14.04,0,72.98708436383622,0.0,85.79280021984061,-0.0,2.52,50,50,172.98708436383623
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,13029.84,33.03,3.02,14.08,15.01,0.0,8.68,245.06,17.44,0,82.08298983237154,0.0,0.0,-0.0,0.0,50,50,182.08298983237154
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,11016.44,48.49,4.84,4.83,22.06,0.0,18.91,48.49,21.64,0,89.28276999175597,76.36713382797473,0.0,-0.0,0.0,50,50,265.6499038197307
ADT,The ADT Corporation,Services,Security & Protection Services,USA,5539.63,16.6,1.66,1.82,6.93,2.65,-23.57,30.22,7.45,0,47.540533113492714,0.0,0.0,-0.0,2.65,50,50,147.5405331134927
ADTN,ADTRAN Inc.,Technology,Communication Equipment,USA,1274.40,29.22,1.99,2.13,42.06,1.6,-8.91,22.5,19.08,0,77.74113767518548,0.0,0.0,-0.0,1.6,50,50,177.74113767518548
ADUS,Addus HomeCare Corp.,Healthcare,Home Health Care,USA,239.15,21.7,0.9,2.09,8.92,0.0,-26.24,21.92,12.28,0,62.54465512503435,21.571860401209122,0.0,-0.0,0.0,50,50,184.11651552624346
ADVS,"Advent Software, Inc.",Technology,Application Software,USA,1442.28,51.96,3.77,0.0,0.0,0.0,-12.5,28.06,22.84,0,90.29953283869196,0.0,0.0,-0.0,0.0,50,50,190.29953283869196
ADX,The Adams Express Company,Financial,Closed-End Fund - Equity,USA,1217.23,3.73,44.26,0.87,3.52,0.31,8.29,12.93,0,25.52899148117615,0.0,0.0,-0.0,0.31,50,50,125.52899148117615
AE,Adams Resources & Energy Inc.,Basic Materials,Oil & Gas Refining & Marketing,USA,288.31,13.04,0.07,1.86,21.04,1.29,38.16,68.32,3.59,0,37.565265182742515,2.0060456169277274,0.0,-0.0,1.29,50,50,139.57131079967024
AEC,Associated Estates Realty Corp.,Financial,REIT - Residential,USA,961.25,167.0,5.3,1.75,0.0,4.55,13.68,16.7,19.84,0,97.44435284418796,0.0,0.0,-0.0,4.55,50,50,197.44435284418796
AEE,Ameren Corporation,Utilities,Diversified Utilities,USA,9945.40,19.52,1.7,1.52,0.0,3.9,19.12,40.99,8.54,0,56.38911788953009,0.0,0.0,-0.0,3.9,50,50,156.3891178895301
AEG,AEGON N.V.,Financial,Life Insurance,Netherlands,19072.90,15.47,0.28,0.54,0.0,2.95,11.08,8.82,7.65,0.0,4.863973619126134,4.9464138499587795,-0.0,2.95,50,50,104.86397361912614
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,926.74,18.78,0.85,1.32,16.52,0.0,7.58,24.42,10.36,0,54.10827150316021,0.0,0.0,-0.0,0.0,50,50,154.1082715031602
AEGR,"Aegerion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1277.28,0.0,26.34,11.25,0.0,0.0,-48.02,43.43,-17.58,0,0.0,96.2627095355867,94.53146468810112,-0.0,0.0,50,50,196.26270953558668
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,972.00,33.37,1.78,2.05,37.67,0.0,25.61,23.69,10.0,0,82.27535037098104,0.0,0.0,-0.0,0.0,50,50,182.27535037098104
AEL,American Equity Investment Life Holding Co.,Financial,Life Insurance,USA,1660.97,6.7,0.64,1.16,1.96,0.78,8.69,23.13,-21.48,0,27.507557021159656,0.0,0.0,-0.0,0.78,50,50,127.50755702115966
AEM,Agnico-Eagle Mines Ltd.,Basic Materials,Gold,Canada,4945.54,0.0,3.02,1.65,0.0,1.13,19.34,28.39,11.06,0,0.0,0.0,0.0,-0.0,1.13,50,50,100.0
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,2130.19,26.17,0.64,1.82,0.0,4.55,-18.29,10.99,4.78,0,73.06952459466886,0.0,0.0,-0.0,4.55,50,50,173.06952459466885
AEP,"American Electric Power Co., Inc.",Utilities,Electric Utilities,USA,25234.93,17.02,1.64,1.57,0.0,3.87,20.72,51.73,8.95,0,48.88705688375927,0.0,0.0,-0.0,3.87,50,50,148.88705688375927
AEPI,AEP Industries Inc.,Consumer Goods,Rubber & Plastics,USA,200.48,3580.0,0.17,2.49,0.0,0.0,-44.34,35.8,8.98,0,99.94503984611157,0.0,0.0,-0.0,0.0,50,50,199.94503984611157
AER,AerCap Holdings N.V.,Services,Rental & Leasing Services,Netherlands,4493.08,19.09,4.66,1.9,0.0,0.0,96.57,39.51,18.01,0,0.0,0.0,41.74223687826326,-0.0,0.0,50,50,100.0
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,348.40,0.0,0.0,3.76,0.0,0.0,0.0,14.94,-14.74,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AES,The AES Corporation,Utilities,Electric Utilities,USA,10323.24,37.53,0.65,2.43,17.09,1.4,4.39,14.26,6.81,0,85.13327837317945,0.0,0.0,-0.0,1.4,50,50,185.13327837317945
AET,Aetna Inc.,Healthcare,Health Care Plans,USA,24580.18,12.69,0.52,1.77,16.16,1.33,3.88,67.77,7.55,0,36.90574333608134,0.0,0.0,-0.0,1.33,50,50,136.90574333608134
AF,Astoria Financial Corporation,Financial,Savings & Loans,USA,1371.91,22.66,2.65,0.97,0.0,1.16,5.74,13.82,0,64.93542181918109,56.746358889804895,0.0,-0.0,1.16,50,50,221.68178070898597
AFAM,Almost Family Inc.,Healthcare,Home Health Care,USA,204.48,23.88,0.57,0.94,12.62,0.0,10.7,21.73,14.39,0,67.65594943665843,0.0,0.0,-0.0,0.0,50,50,167.65594943665843
AFFX,Affymetrix Inc.,Technology,Scientific & Technical Instruments,USA,521.86,0.0,1.58,1.91,10.85,0.0,5.26,7.2,20.76,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AFG,American Financial Group Inc.,Financial,Property & Casualty Insurance,USA,5126.76,11.08,1.01,1.15,0.0,1.54,7.66,57.18,4.26,0,33.58065402583127,0.0,0.0,-0.0,1.54,50,50,133.58065402583128
AFL,AFLAC Inc.,Financial,Accident & Health Insurance,USA,28673.88,9.34,1.2,1.99,2.89,2.35,-2.84,63.05,7.39,0,0.0,29.843363561417974,0.0,-0.0,2.35,50,50,129.84336356141796
AFOP,Alliance Fiber Optic Products Inc.,Technology,Diversified Electronics,USA,319.21,17.32,4.19,3.92,35.47,0.87,-4.04,17.32,12.7,0,0.0,0.0,0.0,-0.0,0.87,50,50,100.0
